Group PAC ID,Measure Performance Rate,Year,State,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate
6002728656,64.125,2016,PA,44123.0,1450.0,3.286267932824151
6103723267,66.875,2016,IL,27617.0,1139.0,4.124271282181265
6103724778,67.25,2016,FL,3697.0,159.0,4.300784419799838
6204730955,65.625,2016,PA,284.0,13.0,4.577464788732394
6204737117,70.125,2016,PA,4180.0,90.0,2.15311004784689
6204740731,63.0,2016,OH,6582.0,230.0,3.4943786083257367
6305748153,65.75,2016,MO,20654.0,1077.0,5.214486298053646
6305758426,68.5,2016,OH,12011.0,291.0,2.4227791191407877
6305817503,69.875,2016,ME,16388.0,220.0,1.3424456919697338
6406020155,58.14285714285714,2016,AZ,20794.0,4028.0,19.370972395883427
6406752153,66.5,2016,WA,6895.0,305.0,4.423495286439449
6406757442,68.875,2016,WI,8278.0,1092.0,13.191592172022228
6406849256,39.0,2016,FL,1149.0,54.0,4.699738903394256
6507778255,66.875,2016,MN,15129.0,364.0,2.4059752792649878
6507803806,66.125,2016,MA,5141.0,631.0,12.273876677689165
6507886231,63.75,2016,VA,2281.0,0.0,0.0
6608789813,66.5,2016,CA,38039.0,1828.0,4.805594258524146
6709794258,68.375,2016,WI,11947.0,805.0,6.738093245166151
6709797491,68.0,2016,CA,12858.0,445.0,3.460880385752061
6800707233,65.125,2016,CO,18370.0,192.0,1.045182362547632
6800787714,67.375,2016,MA,7064.0,198.0,2.802944507361268
6800793522,59.33333333333334,2016,WA,5928.0,60.0,1.0121457489878543
6901791367,49.83333333333334,2016,AZ,11140.0,1011.0,9.0754039497307
6901898386,69.25,2016,GA,13517.0,589.0,4.357475771251017
7012811284,65.5,2016,KY,852.0,44.0,5.164319248826291
7012827983,66.25,2016,WI,2054.0,0.0,0.0
7113830142,66.28571428571429,2016,MN,6261.0,331.0,5.286695416067721
7113834839,69.0,2016,MN,9583.0,534.0,5.572367734529896
7214016559,67.625,2016,TX,5866.0,95.0,1.6195022161609274
7315166949,65.25,2016,PA,3394.0,76.0,2.2392457277548616
7315833555,64.125,2016,FL,315.0,21.0,6.666666666666667
7315856077,64.375,2016,MI,15947.0,817.0,5.123220668464288
7416006085,67.125,2016,NC,13.0,0.0,0.0
7416100672,61.875,2016,FL,5771.0,181.0,3.136371512736094
7416840160,64.875,2016,PA,9047.0,710.0,7.8479053829998895
7618270729,62.5,2016,VA,1300.0,65.0,5.0
7618861105,58.75,2016,IL,12454.0,3898.0,31.299180986028585
7618871799,67.0,2016,SC,11810.0,544.0,4.606265876375953
7618880097,67.5,2016,WA,228.0,20.0,8.771929824561404
7618881905,69.875,2016,KS,1107.0,272.0,24.570912375790424
7618960493,59.875,2016,PA,1808.0,1046.0,57.85398230088496
7719876267,59.16666666666666,2016,MA,562.0,50.0,8.896797153024911
7719899871,64.875,2016,AZ,26535.0,2198.0,8.283399283964576
7719899897,67.0,2016,WA,4347.0,257.0,5.912123303427651
7810800661,62.625,2016,CA,27080.0,1667.0,6.155834564254062
7911801410,70.75,2016,TX,2897.0,328.0,11.322057300655851
7911814926,60.42857142857143,2016,MT,3071.0,50.0,1.6281341582546403
8022921964,65.875,2016,MO,6011.0,146.0,2.428880385959075
8022922475,64.875,2016,CA,4075.0,328.0,8.049079754601227
8123923604,66.42857142857143,2016,TX,450.0,43.0,9.555555555555555
8224031307,68.0,2016,SC,5070.0,289.0,5.700197238658777
8325942253,64.75,2016,MO,586.0,42.0,7.167235494880546
8325952914,64.25,2016,FL,230.0,24.0,10.434782608695652
8426112350,67.0,2016,GA,28624.0,725.0,2.532839575181666
8426136797,66.25,2016,PA,2629.0,45.0,1.711677443895017
8426960360,65.0,2016,TX,16769.0,1084.0,6.464309141868925
8527976513,63.375,2016,WA,2284.0,188.0,8.231173380035026
8628087681,45.33333333333334,2016,MI,398.0,250.0,62.814070351758794
8729990239,63.0,2016,PA,14632.0,414.0,2.8294149808638602
8729996608,68.125,2016,FL,29632.0,1891.0,6.381614470842333
8820900293,65.75,2016,OK,16556.0,496.0,2.9958927277120075
8820901408,64.125,2016,GA,3348.0,73.0,2.1804062126642774
8921273038,62.375,2016,CO,38669.0,1821.0,4.709198582844139
8921903923,66.125,2016,VA,11399.0,297.0,2.605491709799105
8921911587,66.5,2016,KS,1220.0,69.0,5.655737704918033
8921912536,63.625,2016,WV,7770.0,903.0,11.621621621621621
9032021431,67.625,2016,IN,24280.0,846.0,3.484349258649094
9032021563,69.0,2016,FL,5377.0,202.0,3.7567416775153433
9032111281,62.875,2016,CA,6985.0,348.0,4.982104509663565
9133025869,65.375,2016,FL,17084.0,1207.0,7.065090142823695
9133300791,65.625,2016,NJ,480.0,37.0,7.708333333333333
9234033853,64.0,2016,CA,9329.0,827.0,8.864830099689142
9234041708,63.25,2016,NM,11510.0,118.0,1.0251954821894005
9234041997,67.375,2016,MN,10378.0,584.0,5.627288494893043
9335051093,67.0,2016,MI,7102.0,128.0,1.802309208673613
9335130137,87.0,2016,TX,167.0,0.0,0.0
9436054798,72.625,2016,KS,1959.0,55.0,2.807554874936192
9436061736,66.0,2016,CT,21287.0,1203.0,5.651336496453235
9436062296,64.25,2016,AL,16395.0,547.0,3.336383043610857
9436122496,69.25,2016,OK,5845.0,270.0,4.619332763045338
9436139565,64.5,2016,FL,29818.0,1338.0,4.487222483063921
9537066584,65.875,2016,OH,6472.0,30.0,0.4635352286773795
9537172358,63.625,2016,WA,4836.0,602.0,12.448304383788255
9537309869,63.75,2016,WA,18978.0,865.0,4.557909157972389
9739081142,65.375,2016,FL,838.0,186.0,22.195704057279237
9739087818,51.0,2016,AL,18278.0,653.0,3.5726009410219937
9739098575,66.375,2016,ND,1202.0,237.0,19.717138103161396
9739098617,66.875,2016,WA,26979.0,674.0,2.498239371362912
9739191628,67.875,2016,KY,8498.0,745.0,8.7667686514474
9830008770,66.625,2016,MO,5339.0,361.0,6.761565836298932
9830093640,61.875,2016,GA,109.0,22.0,20.18348623853211
9830094515,66.75,2016,CA,12784.0,897.0,7.0165832290362955
9830196799,86.5,2016,KS,5284.0,3704.0,70.09841029523089
9931011434,65.375,2016,VA,157.0,23.0,14.64968152866242
9931190220,66.75,2016,NC,3694.0,70.0,1.8949648077964267
9931359601,64.5,2016,MI,1207.0,14.0,1.15990057995029
